Name,City,Date,Review,Ratings
Akshay Meena,"Certified Buyer, Jaipur","Nov, 2023","So beautiful, so elegant, just a vowww😍❤️READ MORE",5
Mousam  Guha Roy,"Certified Buyer, Matialihat","Oct, 2023",Very niceREAD MORE,4
bijaya mohanty,"Certified Buyer, Baleshwar",6 months ago,Just go for it.Amazing one.Beautiful camera with super fast processorREAD MORE,5
Prithivi Boruah,"Certified Buyer, Bokajan","Oct, 2023",Camera Quality Is Improved Loving ItREAD MORE,5
Ajin V,"Certified Buyer, Balaghat","Oct, 2023",High quality camera😍READ MORE,5
Sheetla Prasad Maurya,"Certified Buyer, Sultanpur","Oct, 2023",Best mobile phoneCamera quality is very nice Battery backup is very good Sound quality is amazing.READ MORE,4
Kriti Customer,"Certified Buyer, Sarkaghat",10 months ago,"Just loved the product , colour , design is wow and camera is amazing , just clicked first picture of my grandmother 👵🏻  in portrait mode and results r here in front of you guys 😍😘READ MORE",5
Flipkart Customer,"Certified Buyer, Aizawl",10 months ago,Awesome photography experience. Battery backup is good . Display is much better than 14 version.READ MORE,5
Nikhil Kumar,"Certified Buyer, Meerut Division",10 months ago,Switch from OnePlus to iPhone I am stunned with camera performance. Everything is perfect on  iPhone 15.READ MORE,5
Rahul Shedge,"Certified Buyer, Satara","Oct, 2023",Totally happy!Camera 5Battery 5 Display 5Design 5READ MORE,5
Sandip Mandal,"Certified Buyer, Jabalpur",10 months ago,Great!READ MORE,5
mohit  yadav ,"Certified Buyer, Mumbai","Nov, 2023",Nice ❤️READ MORE,5
Talim (sk),"Certified Buyer, Sikar",11 months ago,I love this phone. The camera is amazing: its I am so happyREAD MORE,5
Arunji Govindaraju,"Certified Buyer, Chennai",10 months ago,"Awesome product very happy to hold this. Better In hand feel,matte finish. Good camera, Brighter screen with Dynamic Island, USB-C, great battery life.60Hz display is a dealbreaker for some.Its not much noticeable.Thank u Flipkart for the best deal and quick delivery.READ MORE",5
Saurabh Gothwad,"Certified Buyer, Paradip","Sep, 2023",Simply premium.READ MORE,5
Raj Singh,"Certified Buyer, Kolkata","Dec, 2023",for me its 10 out of 10✨READ MORE,5
Rishabh  Jha,"Certified Buyer, Tikamgarh",8 months ago,Awesome 🔥🔥☺️READ MORE,5
AYUSH singh,"Certified Buyer, Dehradun","Nov, 2023",best camera and battery is also very good In love with dynamic Island Type-c charging is very fast. Overall best phoneREAD MORE,5
Ankit  Verma ,"Certified Buyer, Mohammadabad Ghazipur District","Oct, 2023",Awesome camra quality superb camra 😊READ MORE,4
Flipkart Customer,"Certified Buyer, Darjiling District",7 months ago,Nice productREAD MORE,4
Suman Jain,"Certified Buyer, Mumbai","Sep, 2023",Simply Awesome 🤩READ MORE,5
Praveen Kumar,"Certified Buyer, Tirupati","Sep, 2023",This is my first iphone ever used loving it already this is worth it 🥰READ MORE,5
Jayanta  Roy,"Certified Buyer, Navi Mumbai","Sep, 2023",Nice 🙂🙂🙂🙂🙂READ MORE,5
Akash  Deep,"Certified Buyer, Delhi Division",10 months ago,Camera is just wow. All classes clicks are done at night....phone Performance is awesome.... I'm writing now again for review...it's really maintained its premium imageREAD MORE,5
Amit Biswas,"Certified Buyer, Burdwan",6 months ago,A Perfect Smartphone 😍❤️👌👌READ MORE,5
Sajib Das,"Certified Buyer, Agartala",10 months ago,moving from android to apple is a surreal experience. still apple could focus on more flexibility towards the apps.READ MORE,5
Jayanth Jai,"Certified Buyer, Bangalore Division",9 months ago,Their is nothing to explain about Apple iPhone nowadays everyone knows when ur comes to iPhone 15 is just amazing 🔥READ MORE,5
SONAL PAL,"Certified Buyer, Habra","Oct, 2023",Awesome phone powerful performance and battery backup are also very good no heating issue ☺️READ MORE,5
Zeeshan Khan,"Certified Buyer, Bareilly","Dec, 2023",Awesome quality I am very happy. Thank you Flipkart.READ MORE,5
